epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3881,2.81454,5.26565,1.0797,0.46737,0.5316,0.39929,0.13099,2.31143,1.41939,1.02846,0.000663743,0.000663743,0.000663743
2,97.8406,2.35195,1.47254,0.96642,0.65408,0.53612,0.55007,0.19437,2.26108,1.2933,1.03231,0.00132163,0.00132163,0.00132163
3,147.33,2.29125,1.3039,0.95151,0.60886,0.56147,0.55587,0.19076,2.24398,1.34246,1.03575,0.00197071,0.00197071,0.00197071
4,195.819,2.174,1.24423,0.9378,0.58699,0.47782,0.48628,0.18234,2.28271,1.43524,1.01213,0.0019604,0.0019604,0.0019604
5,244.252,2.08704,1.21343,0.91652,0.6179,0.58809,0.5839,0.20812,2.11945,1.33585,1.00169,0.0019472,0.0019472,0.0019472
6,292.747,2.00933,1.07006,0.89629,0.71396,0.58302,0.62744,0.22993,2.1351,1.2124,1.00807,0.001934,0.001934,0.001934
7,341.279,1.97511,1.03638,0.89931,0.67499,0.57288,0.58063,0.21521,2.19511,1.24173,1.05421,0.0019208,0.0019208,0.0019208
8,389.526,1.92211,1.02345,0.89638,0.69862,0.56996,0.61086,0.22605,2.24468,1.29723,1.01818,0.0019076,0.0019076,0.0019076
9,437.75,1.87634,0.98264,0.89033,0.67829,0.57414,0.62121,0.22503,2.13511,1.21683,1.0073,0.0018944,0.0018944,0.0018944
10,486.19,1.79423,0.94389,0.87863,0.7075,0.65606,0.6818,0.26587,2.0571,1.14317,0.97923,0.0018812,0.0018812,0.0018812
11,534.483,1.77713,0.93566,0.87417,0.70968,0.6033,0.66555,0.258,2.00825,1.18477,0.98338,0.001868,0.001868,0.001868
12,582.793,1.73661,0.91687,0.8742,0.74975,0.64552,0.70201,0.27161,1.99586,1.09589,0.96808,0.0018548,0.0018548,0.0018548
13,631.158,1.68684,0.88002,0.86133,0.74105,0.66737,0.7141,0.27844,2.01169,1.10847,0.98654,0.0018416,0.0018416,0.0018416
14,679.614,1.72344,0.90286,0.87232,0.72018,0.673,0.69552,0.26753,2.02363,1.08971,0.9883,0.0018284,0.0018284,0.0018284
15,727.923,1.64537,0.86486,0.86038,0.73534,0.62231,0.66735,0.24912,2.13176,1.12212,0.99833,0.0018152,0.0018152,0.0018152
16,776.113,1.64938,0.86128,0.86495,0.76943,0.63118,0.71204,0.28175,2.10077,1.10133,0.98134,0.001802,0.001802,0.001802
17,824.558,1.5928,0.81237,0.85896,0.75714,0.62825,0.698,0.2768,1.96244,1.11791,0.9773,0.0017888,0.0017888,0.0017888
18,872.662,1.54257,0.80867,0.84642,0.739,0.65653,0.70481,0.26866,2.04948,1.08505,0.96428,0.0017756,0.0017756,0.0017756
19,920.937,1.54614,0.79151,0.84355,0.73343,0.68698,0.72085,0.28673,1.96549,1.04744,0.97044,0.0017624,0.0017624,0.0017624
20,969.189,1.5357,0.77814,0.84635,0.77886,0.65019,0.73335,0.29785,2.00075,1.08882,0.98425,0.0017492,0.0017492,0.0017492
21,1017.63,1.48871,0.7821,0.84615,0.76749,0.64847,0.71278,0.2897,1.96226,1.087,0.96033,0.001736,0.001736,0.001736
22,1065.8,1.52881,0.79964,0.85027,0.81355,0.6692,0.74327,0.29778,1.92409,1.03333,0.96185,0.0017228,0.0017228,0.0017228
23,1114.37,1.44303,0.75546,0.83395,0.80599,0.68448,0.74968,0.30094,1.98261,1.06043,0.97055,0.0017096,0.0017096,0.0017096
24,1162.79,1.43863,0.77009,0.83689,0.76103,0.68441,0.73905,0.30857,1.90323,1.01748,0.96675,0.0016964,0.0016964,0.0016964
25,1211.36,1.41221,0.71992,0.8379,0.79667,0.68034,0.74354,0.30756,1.90573,0.99856,0.96694,0.0016832,0.0016832,0.0016832
26,1259.77,1.42786,0.71689,0.83587,0.79835,0.69962,0.7605,0.31594,1.89553,1.03501,0.96367,0.00167,0.00167,0.00167
27,1308.24,1.41133,0.7185,0.83372,0.81981,0.65526,0.75383,0.29937,1.97766,1.07448,0.96887,0.0016568,0.0016568,0.0016568
28,1356.54,1.38684,0.72586,0.83029,0.79791,0.68057,0.75606,0.30943,1.93202,1.0807,0.96502,0.0016436,0.0016436,0.0016436
29,1404.67,1.37765,0.70651,0.83562,0.81676,0.68061,0.75102,0.30802,1.934,0.97534,0.96856,0.0016304,0.0016304,0.0016304
30,1452.92,1.3229,0.67096,0.82718,0.82397,0.67632,0.74592,0.29511,1.87727,1.0019,0.95971,0.0016172,0.0016172,0.0016172
