epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8752,3.55311,86.8034,1.2078,0.24094,0.16254,0.09363,0.02132,3.5108,2.13198,1.12314,0.0673837,0.000329457,0.000329457
2,29.0365,2.69039,1.7311,0.94154,0.54076,0.46515,0.41606,0.1192,2.48187,1.42854,0.96608,0.0343772,0.000656229,0.000656229
3,42.8548,2.58268,1.57684,0.93304,0.51044,0.49027,0.4157,0.11623,2.51177,1.47065,0.97521,0.001364,0.000976401,0.000976401
4,56.5219,2.44712,1.53911,0.90881,0.62415,0.47275,0.49211,0.14542,2.29551,1.35692,0.95091,0.0009703,0.0009703,0.0009703
5,70.2963,2.3694,1.41001,0.89954,0.65402,0.51512,0.54625,0.18443,2.25459,1.25816,0.94216,0.0009604,0.0009604,0.0009604
6,84.0875,2.31825,1.40001,0.89842,0.64018,0.51188,0.51896,0.17412,2.32029,1.36174,0.96598,0.0009505,0.0009505,0.0009505
7,97.8641,2.35631,1.38454,0.90488,0.68224,0.52247,0.54988,0.17949,2.21472,1.31174,0.94219,0.0009406,0.0009406,0.0009406
8,111.601,2.26575,1.33613,0.8867,0.59437,0.52978,0.52752,0.17567,2.2256,1.23319,0.9421,0.0009307,0.0009307,0.0009307
9,125.59,2.22167,1.25364,0.88549,0.6925,0.54753,0.57621,0.20096,2.16004,1.17081,0.94144,0.0009208,0.0009208,0.0009208
10,139.609,2.19825,1.22878,0.88147,0.66665,0.52975,0.54146,0.17973,2.24251,1.23349,0.94906,0.0009109,0.0009109,0.0009109
11,153.363,2.16996,1.22637,0.87784,0.68883,0.57517,0.58637,0.2183,2.13399,1.15663,0.93529,0.000901,0.000901,0.000901
12,167.17,2.12454,1.15273,0.87096,0.68515,0.54885,0.57865,0.21039,2.17553,1.1872,0.95061,0.0008911,0.0008911,0.0008911
13,180.934,2.10155,1.1732,0.87657,0.66405,0.52109,0.55376,0.19101,2.17366,1.19675,0.93876,0.0008812,0.0008812,0.0008812
14,194.679,2.09398,1.16261,0.86504,0.6706,0.56907,0.58444,0.21067,2.14556,1.21533,0.93953,0.0008713,0.0008713,0.0008713
15,208.42,2.07048,1.13947,0.86314,0.72897,0.51135,0.56148,0.20627,2.16038,1.25332,0.93976,0.0008614,0.0008614,0.0008614
16,222.237,2.00623,1.11876,0.86208,0.72754,0.58549,0.6056,0.22914,2.13756,1.17435,0.93467,0.0008515,0.0008515,0.0008515
17,236.058,2.058,1.0888,0.86568,0.71265,0.54246,0.60514,0.21063,2.19226,1.17729,0.94918,0.0008416,0.0008416,0.0008416
18,249.796,2.01123,1.09686,0.8604,0.70384,0.57921,0.61289,0.21749,2.11516,1.15571,0.9325,0.0008317,0.0008317,0.0008317
19,263.543,1.98907,1.07956,0.85113,0.71214,0.59823,0.63368,0.23049,2.11031,1.09485,0.9324,0.0008218,0.0008218,0.0008218
20,277.347,1.97242,1.06753,0.85624,0.70086,0.54373,0.57635,0.21933,2.15569,1.2309,0.94147,0.0008119,0.0008119,0.0008119
21,291.117,1.96807,1.08215,0.85295,0.7337,0.55767,0.60412,0.2215,2.10845,1.15748,0.93479,0.000802,0.000802,0.000802
22,304.948,1.95203,1.05542,0.85426,0.70937,0.59949,0.61307,0.21882,2.14345,1.14168,0.93404,0.0007921,0.0007921,0.0007921
