epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0109,3.63314,82.9799,1.23355,0.40691,0.3384,0.26938,0.06977,2.74763,3.61965,0.99662,0.000658915,0.000658915,0.000658915
2,29.222,2.7946,1.89577,0.96248,0.38331,0.41318,0.29024,0.07568,2.64678,1.92385,1.00729,0.00129933,0.00129933,0.00129933
3,43.5044,2.66117,1.65925,0.94725,0.50004,0.49683,0.42289,0.12955,2.42743,1.41556,0.97394,0.00191336,0.00191336,0.00191336
4,57.7074,2.56621,1.58867,0.93183,0.47952,0.42839,0.37586,0.10119,2.64746,1.48733,0.99201,0.0018812,0.0018812,0.0018812
5,71.8478,2.41018,1.47723,0.91347,0.53653,0.44106,0.40365,0.11726,2.50259,1.40083,0.97532,0.0018416,0.0018416,0.0018416
6,85.983,2.44898,1.44653,0.90621,0.64506,0.5019,0.51451,0.167,2.28567,1.45839,0.95449,0.001802,0.001802,0.001802
7,100.21,2.43509,1.4536,0.91895,0.60862,0.52852,0.52297,0.16753,2.36032,1.37025,0.96708,0.0017624,0.0017624,0.0017624
8,114.401,2.339,1.40128,0.89746,0.53122,0.51849,0.46221,0.15665,2.31424,1.37278,0.96211,0.0017228,0.0017228,0.0017228
9,128.739,2.30998,1.33284,0.90018,0.58112,0.50824,0.47278,0.16272,2.29759,1.35201,0.96835,0.0016832,0.0016832,0.0016832
10,142.894,2.26202,1.26213,0.90031,0.64211,0.56274,0.57739,0.20946,2.15412,1.16791,0.93921,0.0016436,0.0016436,0.0016436
11,157.145,2.25525,1.26565,0.88973,0.68238,0.5446,0.56293,0.18144,2.25039,1.20042,0.9493,0.001604,0.001604,0.001604
12,171.275,2.24238,1.28881,0.88846,0.67251,0.57288,0.58886,0.2016,2.22427,1.17942,0.94562,0.0015644,0.0015644,0.0015644
13,185.425,2.18819,1.22774,0.88327,0.64964,0.53739,0.52499,0.17463,2.20686,1.22704,0.94609,0.0015248,0.0015248,0.0015248
14,199.559,2.16635,1.19637,0.882,0.72595,0.56781,0.601,0.21713,2.12031,1.15923,0.93275,0.0014852,0.0014852,0.0014852
15,213.798,2.13143,1.14067,0.87646,0.68977,0.56274,0.59445,0.21863,2.07398,1.2272,0.93466,0.0014456,0.0014456,0.0014456
16,228.083,2.09784,1.16007,0.87451,0.70863,0.56147,0.61381,0.23213,2.11495,1.08662,0.9378,0.001406,0.001406,0.001406
17,242.286,2.06186,1.106,0.86671,0.72618,0.59062,0.64065,0.22681,2.16644,1.13043,0.93614,0.0013664,0.0013664,0.0013664
18,256.431,2.04883,1.11482,0.86649,0.70568,0.58809,0.6227,0.21926,2.1437,1.12147,0.92942,0.0013268,0.0013268,0.0013268
19,270.584,2.04815,1.07739,0.86069,0.75085,0.59696,0.6432,0.23351,2.09569,1.1472,0.9358,0.0012872,0.0012872,0.0012872
20,284.823,2.03238,1.1004,0.86581,0.77101,0.55902,0.63469,0.24004,2.13101,1.1437,0.94575,0.0012476,0.0012476,0.0012476
21,299.027,2.00777,1.05407,0.85737,0.75414,0.59482,0.65331,0.24468,2.055,1.10092,0.9314,0.001208,0.001208,0.001208
22,313.354,1.97509,1.06642,0.85805,0.72376,0.59189,0.63774,0.22688,2.07604,1.07028,0.9297,0.0011684,0.0011684,0.0011684
23,327.522,1.96318,1.04992,0.85365,0.73747,0.60203,0.64948,0.24366,2.05092,1.09922,0.92869,0.0011288,0.0011288,0.0011288
24,341.628,1.90729,1.01974,0.85083,0.73023,0.55579,0.59253,0.21532,2.10495,1.10901,0.94386,0.0010892,0.0010892,0.0010892
25,355.798,1.91876,1.026,0.84721,0.75476,0.57541,0.62467,0.23523,2.0515,1.09357,0.92271,0.0010496,0.0010496,0.0010496
26,369.934,1.91836,1.01738,0.84823,0.69481,0.60595,0.61786,0.23773,2.09105,1.11389,0.92982,0.00101,0.00101,0.00101
27,384.101,1.89729,0.99634,0.85124,0.75414,0.5987,0.6421,0.24493,2.07516,1.06879,0.92481,0.0009704,0.0009704,0.0009704
28,398.291,1.87101,1.0112,0.83961,0.74337,0.62045,0.67215,0.25923,2.04189,1.03907,0.92723,0.0009308,0.0009308,0.0009308
29,412.65,1.81825,0.95764,0.84588,0.70552,0.57795,0.61483,0.23854,2.05515,1.08348,0.9223,0.0008912,0.0008912,0.0008912
30,426.809,1.8223,0.95502,0.83894,0.72328,0.58682,0.63316,0.24281,2.08255,1.09643,0.92712,0.0008516,0.0008516,0.0008516
31,440.991,1.81904,0.94851,0.84107,0.72634,0.60889,0.64545,0.25444,2.04022,1.04268,0.92196,0.000812,0.000812,0.000812
32,455.122,1.81897,0.93358,0.83452,0.76108,0.59442,0.65611,0.25583,2.02151,1.00982,0.91897,0.0007724,0.0007724,0.0007724
33,469.28,1.73767,0.90447,0.83493,0.75752,0.58601,0.65069,0.25201,2.04047,1.05159,0.92246,0.0007328,0.0007328,0.0007328
34,483.432,1.71654,0.90084,0.83647,0.71543,0.62231,0.63538,0.25538,1.98049,1.04961,0.91844,0.0006932,0.0006932,0.0006932
35,497.713,1.77073,0.92571,0.83286,0.7288,0.60076,0.65685,0.25586,1.99856,1.04238,0.92515,0.0006536,0.0006536,0.0006536
36,511.879,1.72714,0.88703,0.82897,0.74465,0.6033,0.65354,0.25688,2.02067,1.05371,0.92816,0.000614,0.000614,0.000614
37,526.049,1.66971,0.85815,0.82947,0.78852,0.60583,0.67167,0.25945,2.02149,1.04181,0.91676,0.0005744,0.0005744,0.0005744
38,540.295,1.66101,0.8549,0.83005,0.76248,0.60456,0.66971,0.2613,2.01812,1.04649,0.92455,0.0005348,0.0005348,0.0005348
39,554.519,1.64366,0.83799,0.83224,0.77049,0.62104,0.66856,0.26338,1.99726,1.01857,0.92294,0.0004952,0.0004952,0.0004952
40,568.835,1.61762,0.82455,0.81682,0.78161,0.61239,0.67859,0.27099,1.97873,1.05158,0.92305,0.0004556,0.0004556,0.0004556
