epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9125,3.30168,29.858,1.13835,0.4226,0.44487,0.34657,0.11143,2.60515,1.59609,0.98354,0.000662768,0.000662768,0.000662768
2,32.8755,2.70254,1.88753,0.97247,0.5071,0.46159,0.42897,0.13495,2.4706,1.46101,0.99411,0.00106621,0.00106621,0.00106621
3,48.9207,2.56839,1.62211,0.94086,0.58252,0.50697,0.50737,0.16986,2.27968,1.31345,0.95228,0.00120565,0.00120565,0.00120565
4,65.0183,2.48641,1.55237,0.93367,0.69191,0.56147,0.58979,0.21262,2.13792,1.15482,0.9365,0.000812,0.000812,0.000812
5,81.2428,2.33449,1.4247,0.9153,0.67808,0.55387,0.57211,0.19995,2.23137,1.17171,0.93149,0.000416,0.000416,0.000416
