epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9349,2.81625,6.04196,1.09629,0.5847,0.49556,0.47477,0.15317,2.35015,1.84256,1.01164,0.000663743,0.000663743,0.000663743
2,98.2008,2.38701,1.4874,0.97831,0.5686,0.51584,0.49774,0.16173,2.36376,1.42243,1.05272,0.00132163,0.00132163,0.00132163
3,146.402,2.30584,1.33608,0.94971,0.53445,0.54119,0.50901,0.17245,2.23748,1.35677,1.02103,0.00197071,0.00197071,0.00197071
4,195.499,2.23549,1.26989,0.95039,0.55325,0.55092,0.53759,0.18424,2.25638,1.32125,1.02066,0.0019604,0.0019604,0.0019604
