epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1409.82,1.13874,0.61295,0.84147,0.8657,0.7199,0.8102,0.34201,1.88593,0.92179,1.05383,0.00152247,0.00152247,0.00152247
43,1442.76,1.11008,0.59262,0.83388,0.83108,0.76426,0.82075,0.34666,1.83261,0.91153,1.03493,0.00151082,0.00151082,0.00151082
44,1475.7,1.11676,0.58815,0.83964,0.86455,0.73511,0.81455,0.35486,1.84951,0.93401,1.04416,0.00149918,0.00149918,0.00149918
45,1508.66,1.11394,0.59651,0.83651,0.8674,0.7237,0.80893,0.35059,1.84525,0.89723,1.03359,0.00148753,0.00148753,0.00148753
46,1541.65,1.13956,0.60408,0.84259,0.84197,0.74956,0.82541,0.36136,1.85341,0.91399,1.03471,0.00147588,0.00147588,0.00147588
47,1574.62,1.10844,0.57731,0.84018,0.84164,0.72117,0.79626,0.35214,1.8079,0.92639,1.03758,0.00146424,0.00146424,0.00146424
48,1607.94,1.09122,0.57843,0.83618,0.8792,0.75539,0.82892,0.36078,1.83508,0.90119,1.04214,0.00145259,0.00145259,0.00145259
49,1640.89,1.0653,0.55978,0.83136,0.87996,0.72471,0.82635,0.35791,1.83192,0.88463,1.04341,0.00144094,0.00144094,0.00144094
50,1673.86,1.04793,0.55368,0.83388,0.8437,0.76172,0.82809,0.36291,1.80044,0.88488,1.04265,0.00142929,0.00142929,0.00142929
51,1706.81,1.0785,0.5738,0.83467,0.84692,0.7573,0.82383,0.35063,1.89948,0.91359,1.05712,0.00141765,0.00141765,0.00141765
52,1740.53,1.07454,0.57726,0.83493,0.84641,0.76135,0.82514,0.35263,1.8667,0.90532,1.05408,0.001406,0.001406,0.001406
53,1774.11,1.06016,0.55643,0.83497,0.84323,0.75665,0.8128,0.35342,1.83495,0.88251,1.04424,0.00139435,0.00139435,0.00139435
54,1810.07,1.10448,0.57143,0.83321,0.85756,0.74777,0.82638,0.36018,1.82775,0.91069,1.03565,0.00138271,0.00138271,0.00138271
55,1844.3,1.05744,0.56194,0.8253,0.84744,0.73217,0.8161,0.35067,1.84609,0.89448,1.0421,0.00137106,0.00137106,0.00137106
56,1877.21,1.0607,0.54995,0.82421,0.84173,0.77514,0.8187,0.35801,1.81169,0.88099,1.04034,0.00135941,0.00135941,0.00135941
57,1910.16,1.03415,0.54177,0.83047,0.85548,0.76525,0.82521,0.36086,1.80008,0.8893,1.03985,0.00134776,0.00134776,0.00134776
58,1943.11,1.02307,0.54599,0.83052,0.82827,0.77567,0.82577,0.36898,1.81946,0.88271,1.04742,0.00133612,0.00133612,0.00133612
59,1976.03,1.04081,0.54482,0.82889,0.84805,0.76553,0.82554,0.37178,1.80247,0.88545,1.04564,0.00132447,0.00132447,0.00132447
60,2009.03,1.0332,0.55031,0.82996,0.84785,0.7557,0.8261,0.36222,1.82872,0.92082,1.03346,0.00131282,0.00131282,0.00131282
61,2041.98,1.04179,0.5416,0.83333,0.86512,0.75919,0.81901,0.35672,1.79873,0.88803,1.04475,0.00130118,0.00130118,0.00130118
62,2074.93,1.01971,0.53682,0.82704,0.85371,0.76679,0.82409,0.36107,1.8072,0.87231,1.03732,0.00128953,0.00128953,0.00128953
63,2107.85,1.01558,0.53849,0.825,0.86721,0.74493,0.81918,0.36603,1.79173,0.89728,1.04369,0.00127788,0.00127788,0.00127788
64,2140.79,1.00913,0.52316,0.82881,0.84057,0.76299,0.82582,0.3629,1.82083,0.93135,1.04687,0.00126624,0.00126624,0.00126624
65,2173.76,0.97828,0.51654,0.82237,0.83064,0.76553,0.81252,0.36467,1.79873,0.89552,1.03696,0.00125459,0.00125459,0.00125459
66,2206.71,0.97414,0.51054,0.82398,0.84301,0.75158,0.81869,0.35634,1.79111,0.91935,1.02917,0.00124294,0.00124294,0.00124294
67,2239.68,0.98249,0.51791,0.83104,0.86438,0.75412,0.84311,0.3718,1.81299,0.90984,1.03836,0.00123129,0.00123129,0.00123129
68,2272.71,0.98783,0.5219,0.82705,0.82904,0.78058,0.83593,0.36711,1.79252,0.87343,1.02967,0.00121965,0.00121965,0.00121965
69,2305.65,0.95475,0.50267,0.82428,0.86409,0.75792,0.83155,0.37227,1.78374,0.89219,1.03224,0.001208,0.001208,0.001208
70,2338.59,0.94851,0.49859,0.82155,0.86225,0.77186,0.84337,0.37623,1.78439,0.87652,1.03129,0.00119635,0.00119635,0.00119635
71,2371.57,0.97971,0.517,0.82184,0.8657,0.75977,0.84596,0.36785,1.80388,0.88104,1.04038,0.00118471,0.00118471,0.00118471
72,2404.5,0.97271,0.51283,0.82167,0.83644,0.77129,0.82802,0.37167,1.782,0.88097,1.03186,0.00117306,0.00117306,0.00117306
73,2437.43,0.99318,0.51941,0.82747,0.8135,0.77313,0.82731,0.37316,1.78672,0.88272,1.02706,0.00116141,0.00116141,0.00116141
74,2470.34,0.92891,0.49243,0.81493,0.86599,0.76167,0.826,0.37336,1.77495,0.89982,1.03494,0.00114976,0.00114976,0.00114976
75,2503.27,0.94046,0.49614,0.82084,0.89601,0.76679,0.84582,0.36823,1.77856,0.84364,1.03417,0.00113812,0.00113812,0.00113812
76,2536.18,0.93153,0.48987,0.81604,0.82495,0.77313,0.82972,0.36945,1.8211,0.8989,1.04098,0.00112647,0.00112647,0.00112647
77,2569.1,0.91537,0.48004,0.81844,0.82872,0.79109,0.82898,0.37416,1.78375,0.84936,1.02675,0.00111482,0.00111482,0.00111482
78,2602.03,0.96541,0.49173,0.82814,0.84236,0.76933,0.81413,0.35135,1.7821,0.88489,1.02626,0.00110318,0.00110318,0.00110318
79,2634.96,0.94885,0.49392,0.82518,0.85089,0.75792,0.83263,0.37877,1.78009,0.88483,1.03303,0.00109153,0.00109153,0.00109153
80,2667.94,0.95611,0.50461,0.81927,0.84696,0.77857,0.83499,0.3692,1.78182,0.8737,1.03625,0.00107988,0.00107988,0.00107988
81,2700.82,0.90271,0.47996,0.81708,0.86254,0.77693,0.83841,0.36472,1.80526,0.86492,1.0409,0.00106824,0.00106824,0.00106824
82,2733.75,0.94025,0.49226,0.82033,0.83709,0.77313,0.80726,0.35615,1.83426,0.89345,1.05053,0.00105659,0.00105659,0.00105659
83,2766.69,0.93234,0.48899,0.81951,0.85627,0.7626,0.82349,0.37053,1.78731,0.87132,1.03833,0.00104494,0.00104494,0.00104494
