epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9594,2.69707,19.8678,1.22951,0.64995,0.57185,0.61956,0.21545,2.22305,1.25833,1.09163,0.067193,0.000331384,0.000331384
2,67.5271,1.96432,1.20035,0.98403,0.77293,0.61343,0.71217,0.28743,1.99767,1.19611,1.07414,0.0341864,0.000658137,0.000658137
3,101.45,1.84539,1.03421,0.96341,0.65211,0.62864,0.6516,0.22909,2.16254,1.18915,1.11993,0.00117322,0.000978289,0.000978289
4,135.488,1.76541,0.96061,0.94779,0.78722,0.69582,0.75101,0.29305,1.92429,1.0604,1.0634,0.0009703,0.0009703,0.0009703
5,169.821,1.70639,0.90463,0.92949,0.72533,0.70089,0.69973,0.26975,1.97613,1.07437,1.06112,0.0009604,0.0009604,0.0009604
6,206.67,1.63305,0.87267,0.91479,0.79243,0.68225,0.74718,0.29377,1.95058,1.02563,1.06118,0.0009505,0.0009505,0.0009505
7,240.945,1.55108,0.83416,0.90509,0.81515,0.70422,0.76592,0.30324,1.95252,1.01691,1.05618,0.0009406,0.0009406,0.0009406
8,274.913,1.54576,0.804,0.90024,0.80832,0.68415,0.75341,0.32222,1.92361,1.0649,1.0601,0.0009307,0.0009307,0.0009307
9,308.73,1.48509,0.77805,0.89127,0.83343,0.72291,0.78091,0.32072,1.94147,0.96772,1.05356,0.0009208,0.0009208,0.0009208
10,346.425,1.44873,0.77611,0.88949,0.81479,0.72487,0.76996,0.32546,1.8995,0.98882,1.05459,0.0009109,0.0009109,0.0009109
11,381.154,1.36817,0.72275,0.87365,0.83283,0.72243,0.80222,0.33879,1.89776,0.93883,1.03831,0.000901,0.000901,0.000901
12,414.943,1.36094,0.70309,0.87557,0.84344,0.73638,0.8126,0.34543,1.87823,0.92387,1.03819,0.0008911,0.0008911,0.0008911
13,448.519,1.31794,0.69245,0.87186,0.83447,0.70976,0.77826,0.33333,1.86747,0.95452,1.04269,0.0008812,0.0008812,0.0008812
14,481.836,1.29145,0.67723,0.86358,0.82574,0.74144,0.80267,0.35105,1.84403,0.92479,1.04994,0.0008713,0.0008713,0.0008713
15,515.158,1.24361,0.64163,0.85684,0.82613,0.74071,0.78569,0.32061,1.8997,0.95325,1.05047,0.0008614,0.0008614,0.0008614
16,548.667,1.24707,0.65344,0.86254,0.84102,0.71744,0.79283,0.3524,1.86657,0.95319,1.04368,0.0008515,0.0008515,0.0008515
17,582.128,1.20776,0.62872,0.85324,0.82842,0.74651,0.79267,0.33907,1.82653,0.89277,1.03605,0.0008416,0.0008416,0.0008416
18,615.371,1.15296,0.61088,0.84776,0.79923,0.75683,0.78329,0.34399,1.82251,0.88296,1.03109,0.0008317,0.0008317,0.0008317
19,648.634,1.15671,0.61376,0.85021,0.83382,0.76046,0.80678,0.33834,1.84653,0.90025,1.05133,0.0008218,0.0008218,0.0008218
20,681.908,1.1531,0.60553,0.85662,0.82596,0.75788,0.80832,0.34912,1.84822,0.90999,1.04388,0.0008119,0.0008119,0.0008119
21,715.135,1.11335,0.60098,0.84392,0.86234,0.71457,0.79865,0.34431,1.852,0.89459,1.0398,0.000802,0.000802,0.000802
22,748.431,1.14655,0.61091,0.84816,0.86697,0.75158,0.81534,0.35058,1.82989,0.89015,1.04161,0.0007921,0.0007921,0.0007921
23,781.757,1.13504,0.59713,0.8445,0.83853,0.7569,0.79808,0.34406,1.83155,0.92175,1.04716,0.0007822,0.0007822,0.0007822
24,815.008,1.1245,0.59819,0.84333,0.87944,0.73891,0.80697,0.33862,1.84361,0.914,1.04717,0.0007723,0.0007723,0.0007723
25,848.282,1.07124,0.56571,0.84201,0.83511,0.77672,0.81115,0.33247,1.84767,0.86421,1.03471,0.0007624,0.0007624,0.0007624
26,881.552,1.05671,0.55055,0.83617,0.86209,0.74473,0.82433,0.35279,1.85269,0.92403,1.04427,0.0007525,0.0007525,0.0007525
27,914.879,1.09806,0.57761,0.84294,0.7978,0.79594,0.82373,0.36839,1.82693,0.88479,1.05132,0.0007426,0.0007426,0.0007426
28,948.213,1.04534,0.55487,0.83478,0.85712,0.76793,0.82337,0.36113,1.8039,0.89951,1.03678,0.0007327,0.0007327,0.0007327
29,981.501,1.04351,0.549,0.8327,0.81257,0.78074,0.82314,0.36052,1.81562,0.89619,1.04133,0.0007228,0.0007228,0.0007228
30,1014.77,1.01783,0.54269,0.83295,0.85026,0.75565,0.82083,0.36286,1.80012,0.89041,1.0352,0.0007129,0.0007129,0.0007129
31,1048.02,1.0297,0.54137,0.83431,0.82675,0.76209,0.81765,0.36627,1.80096,0.90508,1.02957,0.000703,0.000703,0.000703
32,1081.25,1.02371,0.54135,0.82749,0.86201,0.76006,0.82772,0.36623,1.79775,0.87707,1.03449,0.0006931,0.0006931,0.0006931
33,1114.45,0.99804,0.53042,0.82923,0.82934,0.75759,0.81186,0.36642,1.80566,0.94195,1.03143,0.0006832,0.0006832,0.0006832
34,1147.72,1.01279,0.53262,0.83257,0.86662,0.73131,0.81102,0.37157,1.75206,0.89322,1.01698,0.0006733,0.0006733,0.0006733
35,1181.04,1.0054,0.53244,0.82741,0.85736,0.74655,0.82905,0.36964,1.8102,0.9326,1.0308,0.0006634,0.0006634,0.0006634
36,1214.35,0.96953,0.51483,0.82892,0.82428,0.76103,0.82053,0.38331,1.76329,0.90308,1.01843,0.0006535,0.0006535,0.0006535
37,1247.67,0.96535,0.50868,0.82234,0.86673,0.76806,0.84156,0.37678,1.77724,0.87017,1.02636,0.0006436,0.0006436,0.0006436
38,1280.93,0.94477,0.50522,0.82587,0.81777,0.7858,0.81459,0.3634,1.78064,0.8947,1.03089,0.0006337,0.0006337,0.0006337
39,1314.23,0.94892,0.49613,0.82297,0.84532,0.78267,0.8224,0.36608,1.75863,0.84724,1.01954,0.0006238,0.0006238,0.0006238
40,1347.47,0.95461,0.49632,0.82376,0.85565,0.75127,0.80861,0.37203,1.76485,0.84988,1.02996,0.0006139,0.0006139,0.0006139
41,1380.76,0.94086,0.50417,0.82018,0.83128,0.76046,0.80531,0.3619,1.76792,0.85549,1.03124,0.000604,0.000604,0.000604
42,1414.03,0.97425,0.50995,0.82607,0.83994,0.7744,0.82195,0.37086,1.79518,0.87998,1.02868,0.0005941,0.0005941,0.0005941
43,1447.28,0.91094,0.47883,0.81959,0.8321,0.78327,0.82647,0.36406,1.80847,0.87171,1.03966,0.0005842,0.0005842,0.0005842
44,1480.56,0.92175,0.48968,0.8221,0.82465,0.76806,0.80444,0.35645,1.8109,0.85976,1.03125,0.0005743,0.0005743,0.0005743
45,1513.85,0.93112,0.49782,0.82541,0.82892,0.78605,0.83619,0.37266,1.77531,0.85094,1.0264,0.0005644,0.0005644,0.0005644
46,1547.15,0.93384,0.48742,0.82314,0.83198,0.79594,0.83506,0.38181,1.74789,0.83998,1.01806,0.0005545,0.0005545,0.0005545
47,1580.49,0.88183,0.45853,0.81688,0.83296,0.76933,0.81856,0.36793,1.75058,0.90303,1.019,0.0005446,0.0005446,0.0005446
48,1613.73,0.90908,0.48144,0.82138,0.83959,0.76046,0.82265,0.38102,1.76921,0.85492,1.02645,0.0005347,0.0005347,0.0005347
49,1646.96,0.90315,0.4692,0.81838,0.83518,0.77711,0.82145,0.3702,1.74665,0.85502,1.01139,0.0005248,0.0005248,0.0005248
50,1680.19,0.87694,0.46088,0.81707,0.82086,0.77567,0.8182,0.3758,1.7491,0.85157,1.01354,0.0005149,0.0005149,0.0005149
51,1713.44,0.89882,0.47032,0.81944,0.84787,0.78327,0.83497,0.37822,1.77188,0.86212,1.01671,0.000505,0.000505,0.000505
52,1746.69,0.88452,0.46637,0.81819,0.84965,0.79468,0.8348,0.38209,1.74068,0.83889,1.01841,0.0004951,0.0004951,0.0004951
53,1779.98,0.88525,0.45469,0.8223,0.82897,0.78834,0.8263,0.3799,1.74342,0.83759,1.02461,0.0004852,0.0004852,0.0004852
54,1813.21,0.86649,0.45823,0.81665,0.84614,0.76806,0.82258,0.3862,1.75978,0.86587,1.02796,0.0004753,0.0004753,0.0004753
55,1846.54,0.84983,0.44863,0.81298,0.85213,0.79087,0.8355,0.3801,1.72797,0.85433,1.01832,0.0004654,0.0004654,0.0004654
56,1879.8,0.86247,0.44576,0.81463,0.85096,0.78961,0.83726,0.37927,1.75806,0.85272,1.02275,0.0004555,0.0004555,0.0004555
57,1913.05,0.90971,0.45327,0.80956,0.85506,0.77763,0.83269,0.37696,1.75455,0.85484,1.01874,0.0004456,0.0004456,0.0004456
58,1946.3,0.86373,0.43496,0.81235,0.81426,0.78834,0.82381,0.37681,1.74557,0.86716,1.01412,0.0004357,0.0004357,0.0004357
59,1979.54,0.8104,0.42197,0.81262,0.82932,0.77593,0.81574,0.37705,1.73977,0.88642,1.02369,0.0004258,0.0004258,0.0004258
60,2012.78,0.81565,0.42883,0.81104,0.85233,0.7681,0.82397,0.38085,1.75483,0.85694,1.02126,0.0004159,0.0004159,0.0004159
61,2046.03,0.81079,0.42639,0.80908,0.84064,0.81876,0.84076,0.36938,1.7378,0.82423,1.02352,0.000406,0.000406,0.000406
62,2079.32,0.81903,0.42589,0.81173,0.85102,0.7858,0.82231,0.37038,1.7346,0.86012,1.02447,0.0003961,0.0003961,0.0003961
63,2112.61,0.83045,0.43487,0.80989,0.85338,0.77186,0.81952,0.37369,1.76232,0.87836,1.03187,0.0003862,0.0003862,0.0003862
64,2145.9,0.83496,0.43115,0.8089,0.82992,0.79975,0.82911,0.37078,1.75263,0.87503,1.02111,0.0003763,0.0003763,0.0003763
65,2179.18,0.79615,0.40995,0.8067,0.86835,0.77567,0.84058,0.38499,1.73319,0.83702,1.01745,0.0003664,0.0003664,0.0003664
66,2212.51,0.80572,0.42107,0.80983,0.82834,0.79505,0.83285,0.38091,1.72848,0.84654,1.02007,0.0003565,0.0003565,0.0003565
67,2245.75,0.79424,0.40734,0.80954,0.85661,0.80257,0.84238,0.38392,1.71272,0.83673,1.01385,0.0003466,0.0003466,0.0003466
68,2279.02,0.77847,0.40323,0.80829,0.8307,0.81465,0.83381,0.37818,1.74232,0.83313,1.02207,0.0003367,0.0003367,0.0003367
69,2312.29,0.78103,0.40694,0.81148,0.85211,0.78961,0.83099,0.37892,1.72926,0.84716,1.01934,0.0003268,0.0003268,0.0003268
