epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3743,2.85298,30.1806,1.14336,0.37037,0.38783,0.2718,0.07554,2.46545,1.77197,1.05409,0.000662768,0.000662768,0.000662768
2,47.6005,2.32116,1.5102,0.977,0.65497,0.57022,0.59166,0.20976,2.24581,1.28636,1.01651,0.00131627,0.00131627,0.00131627
3,70.6671,2.14004,1.28315,0.94998,0.56276,0.53992,0.53039,0.17602,2.29373,1.46172,1.02361,0.00195658,0.00195658,0.00195658
4,93.6242,2.12399,1.25266,0.94223,0.61409,0.61217,0.58253,0.20996,2.13578,1.279,0.99727,0.0019406,0.0019406,0.0019406
5,116.742,2.03333,1.10751,0.92285,0.70091,0.57325,0.6119,0.23153,2.1091,1.20914,0.9909,0.0019208,0.0019208,0.0019208
6,139.852,1.99121,1.07633,0.91678,0.59289,0.48542,0.49649,0.16467,2.28884,1.39471,0.99741,0.001901,0.001901,0.001901
7,162.792,1.93974,1.05238,0.91105,0.6532,0.60203,0.63136,0.2389,2.14059,1.28991,1.00385,0.0018812,0.0018812,0.0018812
8,185.823,1.88317,1.03378,0.90823,0.7278,0.62692,0.68079,0.25815,2.10644,1.18194,0.99361,0.0018614,0.0018614,0.0018614
9,208.87,1.82558,0.98583,0.8916,0.69,0.60837,0.64681,0.23563,2.10475,1.15829,0.99668,0.0018416,0.0018416,0.0018416
10,231.803,1.78418,0.95686,0.89926,0.71695,0.59569,0.65985,0.25251,2.09274,1.19843,0.99659,0.0018218,0.0018218,0.0018218
11,255.332,1.73658,0.9128,0.88753,0.72563,0.60335,0.66795,0.25307,2.02524,1.14545,0.97425,0.001802,0.001802,0.001802
12,279.358,1.72284,0.89788,0.87982,0.77748,0.64766,0.69952,0.26693,2.05757,1.07981,0.98748,0.0017822,0.0017822,0.0017822
13,305.599,1.7057,0.88729,0.88019,0.77187,0.63468,0.70154,0.27549,2.06205,1.10924,0.99032,0.0017624,0.0017624,0.0017624
14,332.143,1.66902,0.87998,0.87083,0.76017,0.62991,0.68257,0.26542,2.03777,1.07068,0.9871,0.0017426,0.0017426,0.0017426
15,355.802,1.64471,0.83414,0.86324,0.78149,0.65526,0.71682,0.26626,2.06102,1.01211,0.98587,0.0017228,0.0017228,0.0017228
16,378.671,1.5992,0.83294,0.86014,0.76229,0.64892,0.7015,0.27893,2.02205,1.09299,0.98364,0.001703,0.001703,0.001703
17,401.471,1.5607,0.80991,0.85652,0.795,0.64879,0.72521,0.29051,1.99426,1.03951,0.97418,0.0016832,0.0016832,0.0016832
18,424.694,1.48954,0.76503,0.85078,0.78589,0.6654,0.72699,0.28163,2.03758,1.0726,0.9799,0.0016634,0.0016634,0.0016634
19,447.824,1.52389,0.77549,0.85565,0.78254,0.67958,0.73158,0.28996,1.99042,1.03084,0.97407,0.0016436,0.0016436,0.0016436
20,471.059,1.45001,0.75036,0.84799,0.74552,0.64259,0.67714,0.27578,2.00702,1.07951,0.99164,0.0016238,0.0016238,0.0016238
