epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5396,3.47494,69.778,1.28361,0.37901,0.34422,0.25206,0.06639,2.70103,1.74914,1.022,0.0673837,0.000329457,0.000329457
2,36.6828,2.47087,1.61163,0.95922,0.58044,0.55583,0.53461,0.19383,2.22817,1.30464,0.97781,0.0343772,0.000656229,0.000656229
3,54.7781,2.36058,1.43726,0.94534,0.6185,0.5137,0.51312,0.18125,2.25018,1.36768,0.98813,0.001364,0.000976401,0.000976401
4,72.7393,2.28557,1.39944,0.93502,0.68778,0.53485,0.55591,0.18117,2.20626,1.24833,0.95538,0.0009703,0.0009703,0.0009703
5,90.6988,2.25011,1.30678,0.91984,0.70676,0.56907,0.62049,0.22114,2.14633,1.13466,0.96787,0.0009604,0.0009604,0.0009604
6,108.707,2.16066,1.22325,0.91483,0.66092,0.57541,0.59294,0.21569,2.12145,1.13703,0.96174,0.0009505,0.0009505,0.0009505
7,126.656,2.21415,1.25057,0.92181,0.71036,0.59442,0.61689,0.23392,2.08491,1.06923,0.95952,0.0009406,0.0009406,0.0009406
8,144.651,2.11701,1.18965,0.9072,0.70945,0.56944,0.61979,0.22775,2.07937,1.09608,0.95516,0.0009307,0.0009307,0.0009307
9,162.604,2.08388,1.17416,0.90417,0.67088,0.60203,0.6362,0.24262,2.03511,1.1284,0.94639,0.0009208,0.0009208,0.0009208
10,180.598,2.07417,1.12402,0.89699,0.60451,0.59823,0.52406,0.1972,2.01707,1.08779,0.94594,0.0009109,0.0009109,0.0009109
11,198.536,2.04181,1.11225,0.89166,0.67964,0.56733,0.58915,0.23298,2.02833,1.05178,0.94888,0.000901,0.000901,0.000901
12,216.474,2.05317,1.11071,0.88788,0.74256,0.61597,0.65611,0.24018,2.1121,1.06984,0.95488,0.0008911,0.0008911,0.0008911
13,234.421,2.0113,1.10594,0.88874,0.7379,0.57092,0.64117,0.23173,2.1281,1.07856,0.95447,0.0008812,0.0008812,0.0008812
14,252.389,1.97347,1.07625,0.88013,0.77798,0.57921,0.65125,0.24002,2.06845,1.04817,0.95221,0.0008713,0.0008713,0.0008713
15,270.35,1.9892,1.04414,0.88102,0.73432,0.62991,0.69464,0.26642,2.04484,1.00693,0.94518,0.0008614,0.0008614,0.0008614
16,288.391,1.93093,1.01966,0.87253,0.78202,0.64639,0.70573,0.27573,2.00649,0.98318,0.93657,0.0008515,0.0008515,0.0008515
17,306.439,1.91098,1.02765,0.87265,0.79933,0.61977,0.70052,0.28117,1.99527,1.00593,0.94021,0.0008416,0.0008416,0.0008416
18,324.505,1.93001,1.01074,0.87072,0.76392,0.60583,0.67314,0.2491,2.07615,1.02496,0.95152,0.0008317,0.0008317,0.0008317
19,342.486,1.88536,1.01045,0.87027,0.74099,0.62231,0.67197,0.25389,2.05055,1.02065,0.94747,0.0008218,0.0008218,0.0008218
20,360.446,1.90347,0.98033,0.86355,0.78727,0.60975,0.6809,0.26356,2.0347,1.02077,0.93791,0.0008119,0.0008119,0.0008119
21,378.416,1.86703,0.99054,0.86956,0.77158,0.62484,0.68081,0.24976,2.06755,1.01757,0.94042,0.000802,0.000802,0.000802
22,396.573,1.8191,0.96931,0.86017,0.77988,0.61069,0.69135,0.26859,2.03835,1.02699,0.94727,0.0007921,0.0007921,0.0007921
23,414.538,1.82066,0.94568,0.86134,0.77855,0.5971,0.6781,0.26282,2.01677,0.9918,0.94801,0.0007822,0.0007822,0.0007822
24,432.498,1.82831,0.9607,0.85852,0.78951,0.62864,0.69708,0.27986,2.04275,0.97251,0.94404,0.0007723,0.0007723,0.0007723
25,450.65,1.78717,0.92216,0.85454,0.73887,0.61724,0.67345,0.25348,2.06808,1.04512,0.94581,0.0007624,0.0007624,0.0007624
26,468.931,1.7675,0.91191,0.85238,0.77237,0.61928,0.69089,0.27391,2.02335,0.97533,0.94031,0.0007525,0.0007525,0.0007525
27,486.895,1.73756,0.90632,0.85712,0.78945,0.62611,0.69225,0.26119,2.03725,0.9671,0.94757,0.0007426,0.0007426,0.0007426
28,504.873,1.75722,0.90842,0.84761,0.78072,0.6109,0.69598,0.27351,2.03058,0.98043,0.94374,0.0007327,0.0007327,0.0007327
29,522.83,1.69335,0.86461,0.8488,0.78981,0.63625,0.71925,0.28245,1.97476,0.99117,0.94056,0.0007228,0.0007228,0.0007228
30,540.856,1.69252,0.87317,0.84517,0.81017,0.64912,0.72461,0.28613,1.9801,0.95951,0.93077,0.0007129,0.0007129,0.0007129
31,558.873,1.65975,0.85013,0.85091,0.75741,0.64502,0.7048,0.28185,2.01354,0.97907,0.94296,0.000703,0.000703,0.000703
32,576.818,1.64392,0.83824,0.84099,0.78844,0.62864,0.70573,0.28144,2.00728,0.98068,0.94141,0.0006931,0.0006931,0.0006931
33,594.778,1.67136,0.86981,0.84038,0.77291,0.64705,0.70527,0.27623,1.97661,0.93125,0.94244,0.0006832,0.0006832,0.0006832
34,612.76,1.65656,0.86093,0.83991,0.74416,0.66033,0.71805,0.27308,1.99616,0.9551,0.93582,0.0006733,0.0006733,0.0006733
35,630.742,1.66192,0.87224,0.83454,0.76338,0.673,0.71795,0.27598,1.99964,0.96525,0.94315,0.0006634,0.0006634,0.0006634
36,648.663,1.62552,0.82671,0.83571,0.76926,0.65779,0.71546,0.28038,1.99534,0.93655,0.95205,0.0006535,0.0006535,0.0006535
37,666.608,1.57292,0.79736,0.84148,0.76899,0.67927,0.73042,0.2863,1.96686,0.92071,0.93931,0.0006436,0.0006436,0.0006436
38,684.664,1.57984,0.78926,0.83068,0.75287,0.64867,0.69202,0.27135,1.99545,0.95487,0.93735,0.0006337,0.0006337,0.0006337
39,702.605,1.54684,0.78821,0.83471,0.8095,0.61938,0.70804,0.27885,1.99404,0.95886,0.94667,0.0006238,0.0006238,0.0006238
40,720.581,1.58082,0.79829,0.83445,0.81721,0.61977,0.71213,0.28336,1.99162,0.96721,0.93782,0.0006139,0.0006139,0.0006139
41,738.547,1.55746,0.79626,0.83575,0.7486,0.69065,0.73836,0.29544,1.99525,0.93301,0.93788,0.000604,0.000604,0.000604
42,756.595,1.50942,0.78218,0.82771,0.81911,0.63118,0.71522,0.29019,1.97692,0.94563,0.93674,0.0005941,0.0005941,0.0005941
43,774.559,1.54526,0.77589,0.82847,0.82377,0.64575,0.72621,0.28734,1.97913,0.89817,0.94899,0.0005842,0.0005842,0.0005842
44,792.521,1.52055,0.77311,0.82451,0.81145,0.65779,0.73724,0.29232,1.99184,0.93737,0.93698,0.0005743,0.0005743,0.0005743
45,810.494,1.49859,0.75964,0.83057,0.82811,0.63878,0.70635,0.27509,1.98282,0.90525,0.9413,0.0005644,0.0005644,0.0005644
46,828.467,1.55003,0.78044,0.82533,0.82698,0.64132,0.71455,0.2814,1.96076,0.91461,0.93554,0.0005545,0.0005545,0.0005545
47,846.44,1.42329,0.70674,0.8229,0.80602,0.66357,0.74101,0.30585,1.94525,0.90657,0.94041,0.0005446,0.0005446,0.0005446
48,864.474,1.44809,0.73648,0.827,0.82248,0.6692,0.74788,0.30273,1.96403,0.90908,0.94028,0.0005347,0.0005347,0.0005347
49,882.459,1.46599,0.73129,0.82251,0.81899,0.6692,0.74191,0.29916,1.98701,0.90377,0.94709,0.0005248,0.0005248,0.0005248
50,900.417,1.48875,0.74301,0.81901,0.78873,0.68609,0.73546,0.29682,1.98864,0.93338,0.94627,0.0005149,0.0005149,0.0005149
51,918.401,1.41702,0.72115,0.81864,0.75448,0.67934,0.71882,0.28225,1.98031,0.91339,0.94815,0.000505,0.000505,0.000505
52,936.359,1.4166,0.73018,0.81759,0.81858,0.6692,0.74612,0.29936,1.97876,0.8976,0.94445,0.0004951,0.0004951,0.0004951
53,954.304,1.43224,0.725,0.8242,0.83157,0.65653,0.73656,0.29812,1.97751,0.9348,0.93482,0.0004852,0.0004852,0.0004852
54,972.26,1.40874,0.72055,0.8248,0.81544,0.66033,0.73911,0.29646,1.98662,0.93085,0.94306,0.0004753,0.0004753,0.0004753
55,990.219,1.40062,0.7077,0.81852,0.79801,0.69075,0.74692,0.29245,1.9764,0.90717,0.93962,0.0004654,0.0004654,0.0004654
56,1008.17,1.41297,0.71383,0.82117,0.79037,0.68814,0.75515,0.29796,1.98258,0.92376,0.94427,0.0004555,0.0004555,0.0004555
57,1026.14,1.40756,0.70767,0.82573,0.79769,0.67963,0.74997,0.29638,1.96246,0.90576,0.94158,0.0004456,0.0004456,0.0004456
58,1044.13,1.39256,0.69788,0.8165,0.81623,0.63752,0.71797,0.28158,1.97403,0.90869,0.93968,0.0004357,0.0004357,0.0004357
59,1062.09,1.35643,0.69226,0.81622,0.79035,0.66793,0.72241,0.28802,1.96104,0.90523,0.9428,0.0004258,0.0004258,0.0004258
60,1080.05,1.34432,0.69564,0.81639,0.83389,0.673,0.74696,0.31526,1.91551,0.91158,0.93654,0.0004159,0.0004159,0.0004159
61,1098.05,1.36589,0.6857,0.81783,0.78442,0.6733,0.73657,0.30322,1.93548,0.89124,0.94571,0.000406,0.000406,0.000406
62,1115.99,1.32096,0.66248,0.81148,0.80678,0.66679,0.7326,0.2944,1.95947,0.89869,0.93565,0.0003961,0.0003961,0.0003961
63,1134.03,1.35189,0.68411,0.81593,0.81329,0.64593,0.73867,0.29117,1.9755,0.93499,0.9395,0.0003862,0.0003862,0.0003862
64,1151.97,1.33216,0.6682,0.80905,0.82872,0.6692,0.74303,0.30687,1.93096,0.88759,0.93212,0.0003763,0.0003763,0.0003763
65,1169.9,1.31289,0.64208,0.81742,0.82519,0.67608,0.75347,0.31024,1.94268,0.89624,0.93697,0.0003664,0.0003664,0.0003664
66,1187.85,1.30219,0.64101,0.81251,0.80518,0.67427,0.74623,0.30388,1.93241,0.89102,0.9375,0.0003565,0.0003565,0.0003565
67,1205.83,1.29499,0.64223,0.81763,0.81159,0.69835,0.76075,0.305,1.94672,0.87944,0.94014,0.0003466,0.0003466,0.0003466
68,1223.79,1.25596,0.6332,0.8068,0.81864,0.66793,0.73856,0.29774,1.90885,0.87719,0.93072,0.0003367,0.0003367,0.0003367
69,1241.76,1.29464,0.64355,0.80928,0.77627,0.68695,0.7311,0.30691,1.92077,0.90154,0.93758,0.0003268,0.0003268,0.0003268
70,1259.73,1.26482,0.6312,0.80713,0.80671,0.68695,0.73944,0.30612,1.90711,0.88934,0.9333,0.0003169,0.0003169,0.0003169
