epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8668,2.60397,3.96448,1.13878,0.44612,0.41825,0.35778,0.10971,2.60271,1.74016,1.17604,0.000664717,0.000664717,0.000664717
2,152.062,2.22983,1.38266,1.02613,0.64797,0.58322,0.59084,0.20446,2.31109,1.33148,1.20242,0.00132479,0.00132479,0.00132479
3,226.942,2.17464,1.35479,1.0148,0.72052,0.5564,0.6108,0.20888,2.36097,1.42615,1.21659,0.00197827,0.00197827,0.00197827
4,301.949,2.12956,1.24532,1.00467,0.50341,0.49683,0.45485,0.14902,2.36687,1.49581,1.14302,0.0019703,0.0019703,0.0019703
5,376.357,2.02794,1.16067,0.97813,0.68202,0.60837,0.6467,0.23766,2.16286,1.2526,1.13659,0.0019604,0.0019604,0.0019604
6,450.879,1.98557,1.13408,0.96684,0.62284,0.57288,0.61175,0.2237,2.16535,1.34704,1.123,0.0019505,0.0019505,0.0019505
7,525.32,2.00708,1.09554,0.9745,0.76715,0.63752,0.70118,0.25404,2.11938,1.16526,1.10176,0.0019406,0.0019406,0.0019406
8,599.848,1.82726,1.00309,0.93024,0.74417,0.63752,0.70104,0.27974,1.9981,1.10605,1.08812,0.0019307,0.0019307,0.0019307
9,674.339,1.82972,1.00874,0.93107,0.62653,0.6081,0.62049,0.23906,2.05496,1.32417,1.10515,0.0019208,0.0019208,0.0019208
10,748.661,1.75497,0.98308,0.92705,0.70336,0.6882,0.70576,0.25488,2.19055,1.13343,1.09393,0.0019109,0.0019109,0.0019109
11,823.068,1.66576,0.9125,0.90758,0.75798,0.67554,0.7143,0.28096,2.01212,1.09653,1.0893,0.001901,0.001901,0.001901
12,897.676,1.71182,0.92313,0.90707,0.79194,0.70435,0.76031,0.30555,1.9721,1.04261,1.06848,0.0018911,0.0018911,0.0018911
13,972.264,1.573,0.85727,0.89706,0.75014,0.66591,0.74725,0.31356,2.00727,1.16577,1.08678,0.0018812,0.0018812,0.0018812
14,1046.87,1.62307,0.90917,0.89771,0.78484,0.65648,0.72062,0.28736,1.92215,1.14132,1.05883,0.0018713,0.0018713,0.0018713
15,1121.34,1.60158,0.86775,0.89732,0.72388,0.67174,0.72411,0.29398,2.05911,1.15454,1.08622,0.0018614,0.0018614,0.0018614
16,1195.68,1.51042,0.81886,0.89294,0.79231,0.63498,0.72061,0.29413,1.98458,1.15646,1.08585,0.0018515,0.0018515,0.0018515
17,1270.15,1.47797,0.79365,0.88391,0.81858,0.71229,0.78308,0.32521,1.94139,1.0066,1.06248,0.0018416,0.0018416,0.0018416
18,1344.72,1.48567,0.78783,0.88714,0.80695,0.7275,0.80174,0.33033,1.91572,0.98329,1.0479,0.0018317,0.0018317,0.0018317
19,1419.31,1.43904,0.77826,0.87704,0.79565,0.70073,0.77462,0.31536,1.98256,1.07668,1.06291,0.0018218,0.0018218,0.0018218
20,1493.77,1.40978,0.75404,0.87193,0.77471,0.67553,0.74942,0.31466,1.94089,1.06437,1.06049,0.0018119,0.0018119,0.0018119
21,1568.14,1.3967,0.76381,0.87824,0.73688,0.65779,0.73801,0.31303,1.94128,1.17256,1.07724,0.001802,0.001802,0.001802
22,1642.54,1.40429,0.75747,0.86636,0.82297,0.70089,0.78633,0.32959,1.91428,1.02485,1.06187,0.0017921,0.0017921,0.0017921
23,1716.86,1.36974,0.73601,0.85968,0.81149,0.68061,0.77552,0.33244,1.93126,1.06052,1.0673,0.0017822,0.0017822,0.0017822
24,1791.21,1.30272,0.69841,0.86402,0.79529,0.69202,0.75772,0.31759,1.95072,1.11601,1.07664,0.0017723,0.0017723,0.0017723
25,1865.68,1.37345,0.73349,0.87319,0.7546,0.72102,0.76911,0.32683,1.90224,1.02156,1.0591,0.0017624,0.0017624,0.0017624
26,1940.17,1.34378,0.71605,0.86106,0.78388,0.70795,0.76636,0.32088,1.89141,1.06252,1.05193,0.0017525,0.0017525,0.0017525
27,2014.64,1.31403,0.70775,0.86303,0.82451,0.6654,0.75179,0.32846,1.85647,1.06722,1.04539,0.0017426,0.0017426,0.0017426
28,2089.09,1.30471,0.71454,0.85472,0.79259,0.70226,0.7703,0.32706,1.94577,1.0444,1.07337,0.0017327,0.0017327,0.0017327
29,2163.56,1.27767,0.68353,0.85377,0.82976,0.73891,0.79279,0.34193,1.8436,0.95705,1.0526,0.0017228,0.0017228,0.0017228
30,2238.16,1.22866,0.64922,0.84927,0.87453,0.71558,0.81478,0.35945,1.84575,1.01306,1.04025,0.0017129,0.0017129,0.0017129
31,2312.66,1.21299,0.66058,0.84333,0.85085,0.71483,0.80817,0.34856,1.925,1.00998,1.05991,0.001703,0.001703,0.001703
32,2387.04,1.23555,0.66252,0.84879,0.82605,0.72117,0.80551,0.35888,1.8594,0.95136,1.05275,0.0016931,0.0016931,0.0016931
33,2461.45,1.22678,0.65664,0.84839,0.80715,0.70849,0.78121,0.32319,1.87232,1.01095,1.06637,0.0016832,0.0016832,0.0016832
34,2535.78,1.21373,0.65501,0.85271,0.81355,0.75158,0.80528,0.34808,1.82982,0.94446,1.03558,0.0016733,0.0016733,0.0016733
35,2610.11,1.20161,0.64249,0.84786,0.80855,0.7161,0.79137,0.34072,1.87855,0.98014,1.05143,0.0016634,0.0016634,0.0016634
36,2684.44,1.21563,0.66052,0.84719,0.84308,0.68775,0.77569,0.3411,1.82163,1.06274,1.04874,0.0016535,0.0016535,0.0016535
37,2758.76,1.18873,0.62425,0.84929,0.81535,0.71637,0.79566,0.33408,1.86938,0.97515,1.04631,0.0016436,0.0016436,0.0016436
38,2833.11,1.16498,0.62603,0.84689,0.85707,0.7237,0.81664,0.35628,1.89304,0.96388,1.04422,0.0016337,0.0016337,0.0016337
39,2907.45,1.15016,0.61775,0.84513,0.88985,0.70649,0.81875,0.37073,1.83778,1.00992,1.04742,0.0016238,0.0016238,0.0016238
40,2982,1.16647,0.61709,0.83569,0.83362,0.71125,0.79473,0.35892,1.84642,1.0376,1.04994,0.0016139,0.0016139,0.0016139
41,3056.42,1.1352,0.62127,0.84104,0.82137,0.74144,0.81834,0.36545,1.83887,0.93676,1.04634,0.001604,0.001604,0.001604
42,3130.74,1.166,0.62951,0.84855,0.83223,0.74271,0.82236,0.37,1.84286,0.93278,1.03692,0.0015941,0.0015941,0.0015941
43,3205.05,1.15046,0.61748,0.84075,0.83754,0.73764,0.81568,0.35658,1.85049,0.99253,1.05487,0.0015842,0.0015842,0.0015842
44,3279.41,1.15091,0.59795,0.83947,0.87493,0.72703,0.82074,0.36771,1.78616,0.90934,1.03727,0.0015743,0.0015743,0.0015743
45,3353.76,1.1048,0.59066,0.8295,0.82583,0.74518,0.80252,0.35621,1.85658,0.97565,1.05985,0.0015644,0.0015644,0.0015644
46,3428.16,1.08894,0.58011,0.83669,0.81757,0.74978,0.81948,0.36918,1.79076,0.9377,1.03671,0.0015545,0.0015545,0.0015545
47,3502.6,1.10547,0.5938,0.83087,0.82948,0.75219,0.80393,0.3558,1.78985,0.91783,1.04119,0.0015446,0.0015446,0.0015446
48,3577,1.05573,0.56539,0.83295,0.82065,0.73764,0.80821,0.36066,1.80919,1.00203,1.03462,0.0015347,0.0015347,0.0015347
49,3651.43,1.10417,0.59502,0.8353,0.82204,0.74144,0.80301,0.3528,1.80548,0.93849,1.03662,0.0015248,0.0015248,0.0015248
50,3725.86,1.1165,0.58913,0.83669,0.85827,0.7199,0.80964,0.36849,1.7949,0.93645,1.03442,0.0015149,0.0015149,0.0015149
51,3800.34,1.05101,0.5625,0.83427,0.85888,0.71736,0.81396,0.36661,1.82591,0.92127,1.05047,0.001505,0.001505,0.001505
52,3874.69,1.07242,0.57495,0.83584,0.84196,0.75158,0.79398,0.34985,1.79747,0.96445,1.0417,0.0014951,0.0014951,0.0014951
53,3949,1.05647,0.57268,0.83029,0.8268,0.77186,0.83347,0.36991,1.80064,0.88205,1.03788,0.0014852,0.0014852,0.0014852
54,4023.45,1.07786,0.56998,0.83438,0.82624,0.73764,0.8067,0.36518,1.80942,0.96986,1.04573,0.0014753,0.0014753,0.0014753
