epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8713,2.69991,20.1239,1.23304,0.50476,0.58302,0.46564,0.17396,2.16428,1.45033,1.11571,0.000662768,0.000662768,0.000662768
2,68.4802,2.03945,1.27719,0.99495,0.65598,0.58302,0.65827,0.2496,2.18048,1.31567,1.11348,0.00132169,0.00132169,0.00132169
3,101.555,1.9045,1.09286,0.97636,0.73448,0.67554,0.7303,0.29465,2.02108,1.19538,1.0905,0.00197285,0.00197285,0.00197285
4,134.547,1.85139,1.03234,0.96137,0.74055,0.63245,0.7014,0.29221,1.96815,1.14695,1.07268,0.00196506,0.00196506,0.00196506
5,167.46,1.76727,0.97993,0.94049,0.69493,0.64766,0.67735,0.24457,2.10147,1.22683,1.09654,0.00195341,0.00195341,0.00195341
6,200.54,1.68935,0.92832,0.92433,0.76354,0.68756,0.73903,0.29348,2.06432,1.05807,1.07409,0.00194176,0.00194176,0.00194176
7,233.613,1.68235,0.91514,0.92026,0.80723,0.70596,0.7695,0.31443,1.97156,1.04932,1.06844,0.00193012,0.00193012,0.00193012
8,266.634,1.60888,0.84199,0.91165,0.765,0.67666,0.73458,0.30137,1.97694,1.05155,1.07975,0.00191847,0.00191847,0.00191847
9,300.539,1.58284,0.84638,0.90098,0.79834,0.74905,0.79676,0.32847,1.91409,0.98871,1.05014,0.00190682,0.00190682,0.00190682
10,334.362,1.54185,0.80689,0.90844,0.79081,0.69202,0.76704,0.32594,1.95761,1.0705,1.06363,0.00189518,0.00189518,0.00189518
11,367.554,1.48332,0.78774,0.88515,0.81572,0.7237,0.77691,0.32928,1.89638,0.99401,1.05968,0.00188353,0.00188353,0.00188353
12,401.125,1.50139,0.79063,0.897,0.81249,0.69835,0.7838,0.31813,1.93844,1.00565,1.05304,0.00187188,0.00187188,0.00187188
13,434.294,1.41572,0.74601,0.87448,0.84536,0.71365,0.8019,0.34443,1.92371,0.96869,1.06083,0.00186024,0.00186024,0.00186024
14,467.312,1.39118,0.73513,0.87305,0.8229,0.7275,0.79224,0.33371,1.91366,0.96914,1.06553,0.00184859,0.00184859,0.00184859
15,500.254,1.34002,0.71369,0.86997,0.83201,0.7275,0.78659,0.32712,1.89172,0.95651,1.06289,0.00183694,0.00183694,0.00183694
