epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8293,3.60432,72.706,1.26501,0.26989,0.2801,0.15321,0.0357,3.14135,2.16434,1.0549,0.000658915,0.000658915,0.000658915
2,29.1367,2.72413,1.87552,0.95657,0.42129,0.39163,0.29003,0.07914,2.72724,1.80868,1.01965,0.00131246,0.00131246,0.00131246
3,43.2828,2.68835,1.79826,0.95033,0.53603,0.35741,0.35817,0.10837,2.64313,1.63522,0.9937,0.0019528,0.0019528,0.0019528
4,57.3713,2.58427,1.63076,0.93053,0.5416,0.44867,0.40414,0.13155,2.47693,1.43605,0.98608,0.0019406,0.0019406,0.0019406
5,71.5239,2.44728,1.48578,0.91289,0.62476,0.45754,0.47872,0.15019,2.35784,1.37775,0.96366,0.0019208,0.0019208,0.0019208
6,85.7922,2.42468,1.45416,0.9131,0.51672,0.48377,0.44189,0.13357,2.49072,1.43257,0.97337,0.001901,0.001901,0.001901
7,99.8507,2.37008,1.42758,0.91013,0.64167,0.52201,0.50961,0.17323,2.27456,1.24878,0.96602,0.0018812,0.0018812,0.0018812
8,113.978,2.33462,1.38275,0.89766,0.63792,0.52218,0.51306,0.1783,2.2365,1.29703,0.95875,0.0018614,0.0018614,0.0018614
9,128.317,2.28982,1.30085,0.89862,0.64458,0.47782,0.4943,0.17501,2.26017,1.28374,0.95114,0.0018416,0.0018416,0.0018416
10,142.36,2.25094,1.2971,0.90068,0.63233,0.53232,0.55964,0.19057,2.21116,1.25863,0.95076,0.0018218,0.0018218,0.0018218
11,156.495,2.21287,1.22642,0.88755,0.64622,0.48669,0.51081,0.15951,2.44471,1.259,0.96951,0.001802,0.001802,0.001802
12,170.546,2.19194,1.25066,0.88058,0.67923,0.56907,0.58747,0.20944,2.11465,1.20333,0.93223,0.0017822,0.0017822,0.0017822
13,184.687,2.19566,1.21249,0.88839,0.69942,0.5397,0.56112,0.20048,2.14238,1.22155,0.94389,0.0017624,0.0017624,0.0017624
14,198.735,2.1636,1.21421,0.88242,0.72805,0.55513,0.61235,0.22112,2.22937,1.15351,0.94794,0.0017426,0.0017426,0.0017426
15,212.888,2.14771,1.17632,0.8767,0.65769,0.56252,0.59162,0.2082,2.13477,1.18926,0.93994,0.0017228,0.0017228,0.0017228
16,227.023,2.10203,1.17001,0.87208,0.70795,0.51307,0.55394,0.19248,2.2905,1.37706,0.96215,0.001703,0.001703,0.001703
17,241.095,2.11002,1.16011,0.87186,0.73112,0.56147,0.60225,0.22024,2.10147,1.20676,0.93661,0.0016832,0.0016832,0.0016832
18,255.154,2.0861,1.18805,0.87019,0.71561,0.55387,0.59734,0.20766,2.16158,1.13674,0.93189,0.0016634,0.0016634,0.0016634
19,269.22,2.07019,1.12093,0.86431,0.69006,0.56401,0.60736,0.22572,2.1369,1.12141,0.93992,0.0016436,0.0016436,0.0016436
20,283.398,2.04966,1.11162,0.864,0.69799,0.52433,0.57572,0.21494,2.19466,1.28689,0.94589,0.0016238,0.0016238,0.0016238
21,297.446,2.07176,1.09901,0.86764,0.70045,0.53739,0.56507,0.20735,2.15828,1.12291,0.93949,0.001604,0.001604,0.001604
