epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2755,3.48864,70.9662,1.18537,0.47149,0.44233,0.36571,0.10434,2.5304,2.47325,0.98382,0.0673837,0.000329457,0.000329457
2,29.8287,2.53103,1.59587,0.91494,0.53178,0.4923,0.42642,0.13387,2.36654,1.46186,0.95689,0.0343772,0.000656229,0.000656229
3,44.2526,2.41388,1.41002,0.91608,0.59455,0.48035,0.46815,0.17062,2.2365,1.51558,0.94477,0.001364,0.000976401,0.000976401
4,58.6051,2.31352,1.30381,0.89447,0.44748,0.45374,0.36945,0.10822,2.59856,1.42784,0.95712,0.0009703,0.0009703,0.0009703
5,72.9393,2.29853,1.36475,0.88757,0.64181,0.56274,0.565,0.18732,2.25901,1.2138,0.94418,0.0009604,0.0009604,0.0009604
6,87.3037,2.17572,1.22542,0.87843,0.65393,0.52448,0.55407,0.19722,2.17923,1.33243,0.94224,0.0009505,0.0009505,0.0009505
7,101.695,2.19862,1.23916,0.88063,0.70431,0.57964,0.59976,0.21506,2.15291,1.16608,0.93959,0.0009406,0.0009406,0.0009406
8,116.065,2.15965,1.14525,0.87441,0.66997,0.53739,0.52712,0.17781,2.27172,1.19307,0.96915,0.0009307,0.0009307,0.0009307
9,130.402,2.11656,1.17156,0.87084,0.64939,0.57414,0.57126,0.19272,2.14254,1.16183,0.9324,0.0009208,0.0009208,0.0009208
10,144.725,2.08973,1.15231,0.86586,0.66938,0.54658,0.58187,0.19908,2.18448,1.24668,0.92927,0.0009109,0.0009109,0.0009109
11,159.064,2.04005,1.12162,0.86036,0.65781,0.5555,0.58416,0.21094,2.09382,1.24712,0.92556,0.000901,0.000901,0.000901
12,173.391,2.04185,1.11338,0.86099,0.6857,0.55894,0.61362,0.21503,2.15052,1.16118,0.92918,0.0008911,0.0008911,0.0008911
13,187.798,1.93755,1.04068,0.85472,0.72215,0.59062,0.62486,0.23185,2.04317,1.15876,0.93002,0.0008812,0.0008812,0.0008812
