epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3991,2.70888,25.4999,1.2368,0.59456,0.57541,0.54868,0.19,2.27315,1.48959,1.12047,0.000662768,0.000662768,0.000662768
2,70.5018,2.19195,1.50674,1.03693,0.62552,0.57921,0.6118,0.22002,2.15795,1.2517,1.10894,0.00132285,0.00132285,0.00132285
3,105.443,2.10587,1.34829,1.02515,0.69733,0.67174,0.70327,0.27222,2.05552,1.46187,1.09454,0.00197634,0.00197634,0.00197634
4,139.831,2.03167,1.21062,0.9952,0.68272,0.53612,0.53531,0.20027,2.22461,1.27654,1.16578,0.0019703,0.0019703,0.0019703
5,174.144,1.97591,1.13105,0.99484,0.70118,0.64132,0.67309,0.25795,2.07402,1.16764,1.09487,0.0019604,0.0019604,0.0019604
6,208.466,1.91023,1.08952,0.97487,0.73168,0.66704,0.71641,0.28387,2.04328,1.18905,1.07879,0.0019505,0.0019505,0.0019505
7,242.83,1.95123,1.09894,0.97279,0.70889,0.64132,0.69943,0.26757,2.0983,1.16039,1.10171,0.0019406,0.0019406,0.0019406
8,277.121,1.82102,1.0018,0.95118,0.80134,0.65272,0.74919,0.30844,1.98259,1.16392,1.07509,0.0019307,0.0019307,0.0019307
9,311.459,1.81296,0.99742,0.94835,0.8194,0.63253,0.75196,0.30167,1.97387,1.19236,1.07061,0.0019208,0.0019208,0.0019208
10,345.743,1.72015,0.93459,0.93368,0.83029,0.7131,0.77692,0.32467,1.90202,1.05952,1.06184,0.0019109,0.0019109,0.0019109
11,380.105,1.69303,0.90502,0.92745,0.82173,0.68351,0.78507,0.32083,1.95676,1.04239,1.08399,0.001901,0.001901,0.001901
12,414.427,1.71475,0.91544,0.92879,0.80939,0.69965,0.76899,0.31077,1.94641,1.03941,1.07264,0.0018911,0.0018911,0.0018911
13,448.741,1.6802,0.90552,0.9205,0.83132,0.69336,0.76041,0.32115,1.92965,1.01401,1.06559,0.0018812,0.0018812,0.0018812
14,483.014,1.65778,0.90072,0.90848,0.7382,0.66113,0.73659,0.30415,1.98523,1.13057,1.07277,0.0018713,0.0018713,0.0018713
15,517.304,1.57407,0.83319,0.90373,0.79168,0.70849,0.76798,0.31536,1.93514,0.99527,1.06826,0.0018614,0.0018614,0.0018614
16,551.573,1.58703,0.85041,0.90613,0.80789,0.66286,0.76563,0.30305,2.03509,1.03558,1.08033,0.0018515,0.0018515,0.0018515
17,585.911,1.612,0.85009,0.9111,0.74971,0.62231,0.66525,0.26729,2.08541,1.28507,1.09428,0.0018416,0.0018416,0.0018416
18,620.204,1.51666,0.81425,0.90151,0.78438,0.68237,0.75481,0.30525,2.04868,1.03377,1.08074,0.0018317,0.0018317,0.0018317
19,654.506,1.50504,0.79025,0.89137,0.85657,0.72665,0.80156,0.34512,1.84057,0.98532,1.04767,0.0018218,0.0018218,0.0018218
20,688.868,1.47716,0.79676,0.88723,0.81842,0.74144,0.80126,0.34672,1.87008,0.9471,1.06511,0.0018119,0.0018119,0.0018119
21,723.211,1.46709,0.77086,0.88683,0.83396,0.72568,0.79884,0.32687,1.91926,0.99408,1.06265,0.001802,0.001802,0.001802
22,757.499,1.4319,0.76894,0.88064,0.81919,0.73384,0.80544,0.35204,1.88273,0.96842,1.05253,0.0017921,0.0017921,0.0017921
23,791.845,1.44547,0.76844,0.87642,0.79242,0.73004,0.79743,0.34647,1.93584,0.97317,1.0535,0.0017822,0.0017822,0.0017822
24,826.158,1.42491,0.74642,0.8798,0.84663,0.70664,0.78172,0.33451,1.90906,1.00247,1.06019,0.0017723,0.0017723,0.0017723
25,860.487,1.38105,0.71732,0.87615,0.81944,0.72475,0.80857,0.35329,1.87988,0.99405,1.05718,0.0017624,0.0017624,0.0017624
26,894.848,1.39435,0.73094,0.87535,0.83667,0.73257,0.80651,0.3382,1.91345,0.97153,1.06333,0.0017525,0.0017525,0.0017525
27,929.15,1.37265,0.73141,0.87205,0.8258,0.75101,0.81016,0.35452,1.87726,0.91198,1.05893,0.0017426,0.0017426,0.0017426
28,963.534,1.35311,0.72565,0.87042,0.83274,0.75285,0.8086,0.3443,1.93498,0.95811,1.0809,0.0017327,0.0017327,0.0017327
29,997.83,1.37339,0.74074,0.86753,0.79148,0.69708,0.76793,0.33548,1.91787,1.04194,1.07899,0.0017228,0.0017228,0.0017228
30,1032.13,1.30955,0.69767,0.86044,0.88207,0.72047,0.82607,0.36545,1.8943,0.96432,1.06778,0.0017129,0.0017129,0.0017129
31,1066.46,1.30226,0.69031,0.86733,0.84096,0.73131,0.81786,0.36868,1.90271,0.95367,1.06539,0.001703,0.001703,0.001703
32,1100.79,1.29639,0.69959,0.8567,0.80517,0.65997,0.74319,0.32327,1.92595,1.17956,1.0667,0.0016931,0.0016931,0.0016931
33,1135.33,1.3085,0.68381,0.8609,0.87295,0.75764,0.85137,0.36842,1.86452,0.9036,1.05773,0.0016832,0.0016832,0.0016832
34,1170,1.29001,0.6701,0.85839,0.88154,0.75451,0.82872,0.36204,1.85022,0.8867,1.05131,0.0016733,0.0016733,0.0016733
35,1204.53,1.27773,0.67118,0.85507,0.85864,0.71597,0.79701,0.33555,1.8638,0.98982,1.06173,0.0016634,0.0016634,0.0016634
36,1238.8,1.26312,0.6618,0.86201,0.87373,0.72788,0.80713,0.3517,1.88225,0.99002,1.06302,0.0016535,0.0016535,0.0016535
37,1273.09,1.24929,0.65856,0.85609,0.83892,0.7459,0.83256,0.36953,1.84033,0.93176,1.05116,0.0016436,0.0016436,0.0016436
38,1307.39,1.23274,0.65043,0.85898,0.86476,0.75792,0.81377,0.3498,1.82226,0.88668,1.04342,0.0016337,0.0016337,0.0016337
39,1341.68,1.2208,0.6518,0.85297,0.87846,0.72624,0.82199,0.34066,1.89862,0.98044,1.06514,0.0016238,0.0016238,0.0016238
40,1375.98,1.20222,0.64107,0.85197,0.87156,0.72243,0.8196,0.35697,1.8277,0.90946,1.04997,0.0016139,0.0016139,0.0016139
41,1410.29,1.2156,0.64095,0.8541,0.87329,0.7163,0.81062,0.35635,1.83133,0.9219,1.04918,0.001604,0.001604,0.001604
42,1444.56,1.2122,0.63297,0.85708,0.83301,0.78401,0.84465,0.36514,1.86371,0.90301,1.04989,0.0015941,0.0015941,0.0015941
